Result for RegNo: 22155135001
105403P,Operating Systems,25,16,41,A,2.00


Result for RegNo: 22155135009
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,57,27,84,A,3.00
100404,Discrete Mathematics,58,23,81,A,4.00
100407,Human Resource Development and Organizational Behavior,44,28,72,B,3.00
105401,Computer Organization & Architecture,58,29,87,A,3.00
105402,Design & Analysis of Algorithms,56,26,82,A,3.00
105403,Operating Systems,53,29,82,A,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,29,18,47,A+,2.00
105401P,Computer Organization & Architecture,28,17,45,A+,2.00
105402P,Design & Analysis of Algorithms,27,20,47,A+,2.00
105403P,Operating Systems,27,18,45,A+,2.00


Result for RegNo: 22155135010
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,48,17,65,C,3.00
100404,Discrete Mathematics,41,24,65,C,4.00
100407,Human Resource Development and Organizational Behavior,35,24,59,D,3.00
105401,Computer Organization & Architecture,51,27,78,B,3.00
105402,Design & Analysis of Algorithms,32,20,52,D,3.00
105403,Operating Systems,25,19,44,P,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,28,14,42,A,2.00
105401P,Computer Organization & Architecture,28,16,44,A,2.00
105402P,Design & Analysis of Algorithms,25,17,42,A,2.00
105403P,Operating Systems,23,16,39,B,2.00


Result for RegNo: 22155135011
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,54,16,70,B,3.00
100404,Discrete Mathematics,42,24,66,C,4.00
100407,Human Resource Development and Organizational Behavior,54,27,81,A,3.00
105401,Computer Organization & Architecture,47,27,74,B,3.00
105402,Design & Analysis of Algorithms,46,21,67,C,3.00
105403,Operating Systems,49,27,76,B,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,15,42,A,2.00
105401P,Computer Organization & Architecture,28,18,46,A+,2.00
105402P,Design & Analysis of Algorithms,24,17,41,A,2.00
105403P,Operating Systems,25,17,42,A,2.00


Result for RegNo: 22155135012
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,64,24,88,A,3.00
100404,Discrete Mathematics,43,24,67,C,4.00
100407,Human Resource Development and Organizational Behavior,45,27,72,B,3.00
105401,Computer Organization & Architecture,53,29,82,A,3.00
105402,Design & Analysis of Algorithms,53,24,77,B,3.00
105403,Operating Systems,41,27,68,C,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,16,43,A,2.00
105401P,Computer Organization & Architecture,28,18,46,A+,2.00
105402P,Design & Analysis of Algorithms,25,20,45,A+,2.00
105403P,Operating Systems,25,17,42,A,2.00


Result for RegNo: 22155135013
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,49,25,74,B,3.00
100404,Discrete Mathematics,40,25,65,C,4.00
100407,Human Resource Development and Organizational Behavior,52,28,80,A,3.00
105401,Computer Organization & Architecture,43,28,71,B,3.00
105402,Design & Analysis of Algorithms,51,24,75,B,3.00
105403,Operating Systems,29,25,54,D,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,28,16,44,A,2.00
105401P,Computer Organization & Architecture,27,17,44,A,2.00
105402P,Design & Analysis of Algorithms,29,19,48,A+,2.00
105403P,Operating Systems,26,17,43,A,2.00


Result for RegNo: 22155135014
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,38,22,60,C,3.00
100404,Discrete Mathematics,25,21,46,P,4.00
100407,Human Resource Development and Organizational Behavior,43,26,69,C,3.00
105401,Computer Organization & Architecture,32,27,59,D,3.00
105402,Design & Analysis of Algorithms,31,17,48,P,3.00
105403,Operating Systems,39,25,64,C,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,15,42,A,2.00
105401P,Computer Organization & Architecture,26,17,43,A,2.00
105402P,Design & Analysis of Algorithms,27,13,40,A,2.00
105403P,Operating Systems,26,16,42,A,2.00


Result for RegNo: 22155135015
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,35,24,59,D,3.00
100404,Discrete Mathematics,30,23,53,D,4.00
100407,Human Resource Development and Organizational Behavior,31,29,60,C,3.00
105401,Computer Organization & Architecture,45,27,72,B,3.00
105402,Design & Analysis of Algorithms,35,20,55,D,3.00
105403,Operating Systems,20*,22,42,P,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,16,43,A,2.00
105401P,Computer Organization & Architecture,26,16,42,A,2.00
105402P,Design & Analysis of Algorithms,24,17,41,A,2.00
105403P,Operating Systems,23,17,40,A,2.00


Result for RegNo: 22155135016
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,55,25,80,A,3.00
100404,Discrete Mathematics,15,22,37,F,4.00
100407,Human Resource Development and Organizational Behavior,38,27,65,C,3.00
105401,Computer Organization & Architecture,34,28,62,C,3.00
105402,Design & Analysis of Algorithms,49,20,69,C,3.00
105403,Operating Systems,46,24,70,B,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,28,17,45,A+,2.00
105401P,Computer Organization & Architecture,28,18,46,A+,2.00
105402P,Design & Analysis of Algorithms,27,17,44,A,2.00
105403P,Operating Systems,24,17,41,A,2.00


Result for RegNo: 22155135017
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,52,19,71,B,3.00
100404,Discrete Mathematics,36,25,61,C,4.00
100407,Human Resource Development and Organizational Behavior,50,21,71,B,3.00
105401,Computer Organization & Architecture,42,27,69,C,3.00
105402,Design & Analysis of Algorithms,36,16,52,D,3.00
105403,Operating Systems,42,27,69,C,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,26,16,42,A,2.00
105401P,Computer Organization & Architecture,26,17,43,A,2.00
105402P,Design & Analysis of Algorithms,23,15,38,B,2.00
105403P,Operating Systems,27,17,44,A,2.00


Result for RegNo: 22155135018
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,50,19,69,C,3.00
100404,Discrete Mathematics,28,24,52,D,4.00
100407,Human Resource Development and Organizational Behavior,45,26,71,B,3.00
105401,Computer Organization & Architecture,46,28,74,B,3.00
105402,Design & Analysis of Algorithms,43,20,63,C,3.00
105403,Operating Systems,54,26,80,A,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
